Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Hour
3,1,1,1,0,2,3,2,1,6,0,5,5,0,0,0,2,5,-0.059060765005841856,-0.5442638586190858,1,0,1,4,2,5,15,21
1,2,1,1,0,2,0,2,1,6,1,5,5,0,0,3,2,2,-0.059060765005841856,-0.5442638586190858,3,1,0,3,1,5,10,13
2,0,1,1,0,4,0,2,3,6,4,5,5,0,0,0,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,11,20
2,0,0,4,0,4,13,2,1,1,4,5,5,0,0,3,2,2,-0.059060765005841856,-0.5442638586190858,4,2,0,0,0,6,11,7
1,1,1,4,0,2,4,2,0,6,2,5,5,0,0,3,2,6,-0.059060765005841856,4.420299674748312,2,0,1,0,2,5,9,12
5,0,1,4,0,3,4,2,1,8,5,5,1,0,0,0,2,2,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,1,6
0,2,1,4,0,1,4,2,1,6,2,5,1,0,3,3,2,6,2.8447012382354724,4.420299674748312,0,0,1,0,2,5,15,11
6,2,1,4,1,2,8,2,1,6,2,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,8,0,1,0,2,5,12,15
6,1,1,4,0,1,4,2,1,5,4,5,1,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,10,16
2,0,1,1,1,4,7,2,1,6,2,6,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,11,14
1,0,0,4,0,2,7,0,1,6,5,5,3,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,10,17
3,0,1,1,0,2,0,2,2,8,1,5,0,0,0,0,2,2,1.3928202366148152,3.427386968074832,2,0,0,1,2,5,9,2
1,0,1,4,0,2,13,2,1,8,2,5,0,0,0,3,2,5,-0.059060765005841856,-0.5442638586190858,2,2,0,0,2,1,0,8
5,1,1,1,0,3,0,2,3,2,5,5,1,0,3,3,2,6,-1.510941766626499,-0.5442638586190858,6,0,1,0,2,5,4,17
3,1,1,4,0,3,5,2,3,8,4,5,5,0,0,3,2,2,-0.059060765005841856,-0.5442638586190858,6,2,1,3,2,1,10,8
0,0,1,4,0,4,0,2,1,6,2,5,5,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,2,1,0,1,5,10,7
3,1,1,4,0,2,0,1,3,6,2,5,5,0,0,3,2,2,-0.059060765005841856,0.44864884805439376,2,2,1,4,2,1,1,14
1,0,1,4,0,2,0,2,0,6,5,5,5,0,3,0,3,6,-0.059060765005841856,-0.5442638586190858,2,0,0,0,2,5,9,18
4,0,1,4,0,3,0,2,1,6,2,5,0,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,1,1,0,2,5,15,9
3,1,1,2,1,1,13,2,1,6,1,5,1,0,0,3,0,5,-1.510941766626499,-0.5442638586190858,2,0,1,1,2,5,1,16
3,0,1,4,0,1,5,2,1,8,1,5,5,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,2,0,2,2,1,10,19
6,0,1,4,0,3,7,2,1,6,2,5,5,0,0,3,2,6,1.3928202366148152,0.44864884805439376,2,0,1,1,2,5,1,7
2,0,0,4,0,1,0,2,3,6,2,5,1,0,0,0,2,0,-1.510941766626499,-0.5442638586190858,2,0,1,1,2,5,0,22
6,1,1,1,1,0,5,2,1,2,5,5,5,0,0,0,2,6,1.3928202366148152,-0.5442638586190858,2,0,1,0,2,5,12,21
6,2,1,4,0,3,0,2,3,6,2,5,0,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,3,17
5,0,1,5,0,2,0,2,0,11,4,5,1,0,3,0,2,6,-0.059060765005841856,-0.5442638586190858,3,0,1,0,2,5,9,22
6,0,0,2,0,0,5,2,2,6,1,5,0,0,2,3,2,6,2.8447012382354724,0.44864884805439376,2,0,1,1,2,5,10,13
6,1,1,4,0,2,0,2,3,6,4,5,1,0,3,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,7,7
4,1,1,4,0,0,9,2,1,6,2,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,5,18
4,0,1,4,0,2,7,2,1,6,2,5,1,0,0,3,2,2,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,9,11
